,buying,maint,doors,persons,lug_boot,safety,class
1220,med,low,3,2,med,high,unacc
400,vhigh,low,4,more,med,med,acc
50,vhigh,vhigh,3,more,med,high,unacc
80,vhigh,vhigh,4,more,big,high,unacc
1587,low,med,4,more,med,low,unacc
1015,med,high,3,4,big,med,acc
1558,low,med,3,more,small,med,acc
665,high,med,2,4,big,high,acc
1662,low,low,3,4,big,low,unacc
548,high,high,2,2,big,high,unacc
449,high,vhigh,2,4,big,high,unacc
1445,low,high,3,4,med,high,acc
1366,low,vhigh,4,4,big,med,acc
1534,low,med,2,more,med,med,acc
1095,med,med,2,4,big,low,unacc
1650,low,low,3,2,med,low,unacc
1030,med,high,4,2,med,med,unacc
1483,low,high,4,more,big,med,acc
537,high,vhigh,5more,more,big,low,unacc
70,vhigh,vhigh,4,4,big,med,unacc
277,vhigh,med,4,2,big,med,unacc
1656,low,low,3,4,small,low,unacc
1272,med,low,5more,2,med,low,unacc
37,vhigh,vhigh,3,4,small,med,unacc
1473,low,high,4,4,big,low,unacc
1536,low,med,2,more,big,low,unacc
1611,low,med,5more,more,small,low,unacc
1505,low,high,5more,more,small,high,acc
310,vhigh,med,5more,4,med,med,acc
1278,med,low,5more,4,small,low,unacc
574,high,high,3,2,big,med,unacc
531,high,vhigh,5more,more,small,low,unacc
683,high,med,3,2,big,high,unacc
193,vhigh,high,5more,2,med,med,unacc
967,med,vhigh,5more,more,med,med,acc
426,vhigh,low,5more,more,med,low,unacc
396,vhigh,low,4,more,small,low,unacc
1669,low,low,3,more,med,med,good
339,vhigh,low,2,4,big,low,unacc
1376,low,vhigh,4,more,big,high,acc
1276,med,low,5more,2,big,med,unacc
348,vhigh,low,2,more,big,low,unacc
1712,low,low,5more,4,small,high,good
1158,med,med,4,more,big,low,unacc
71,vhigh,vhigh,4,4,big,high,unacc
551,high,high,2,4,small,high,acc
990,med,high,2,more,small,low,unacc
523,high,vhigh,5more,4,small,med,unacc
597,high,high,4,2,med,low,unacc
386,vhigh,low,4,2,big,high,unacc
140,vhigh,high,3,2,med,high,unacc
1398,low,vhigh,5more,more,med,low,unacc
1189,med,low,2,2,small,med,unacc
499,high,vhigh,4,4,med,med,unacc
1093,med,med,2,4,med,med,acc
347,vhigh,low,2,more,med,high,acc
354,vhigh,low,3,2,med,low,unacc
41,vhigh,vhigh,3,4,med,high,unacc
1389,low,vhigh,5more,4,med,low,unacc
222,vhigh,med,2,2,big,low,unacc
541,high,high,2,2,small,med,unacc
30,vhigh,vhigh,3,2,med,low,unacc
479,high,vhigh,3,more,small,high,unacc
1421,low,high,2,4,big,high,vgood
22,vhigh,vhigh,2,more,med,med,unacc
1487,low,high,5more,2,small,high,unacc
747,high,med,5more,more,small,low,unacc
1009,med,high,3,4,small,med,unacc
271,vhigh,med,4,2,small,med,unacc
647,high,high,5more,more,big,high,acc
985,med,high,2,4,med,med,unacc
907,med,vhigh,3,4,big,med,acc
969,med,vhigh,5more,more,big,low,unacc
1633,low,low,2,4,med,med,acc
570,high,high,3,2,med,low,unacc
621,high,high,5more,2,small,low,unacc
793,high,low,3,4,small,med,unacc
1234,med,low,3,more,small,med,acc
1378,low,vhigh,5more,2,small,med,unacc
913,med,vhigh,3,more,med,med,acc
321,vhigh,med,5more,more,big,low,unacc
783,high,low,3,2,small,low,unacc
1085,med,med,2,2,med,high,unacc
496,high,vhigh,4,4,small,med,unacc
1164,med,med,5more,2,med,low,unacc
163,vhigh,high,4,2,small,med,unacc
1396,low,vhigh,5more,more,small,med,unacc
738,high,med,5more,4,small,low,unacc
207,vhigh,high,5more,more,small,low,unacc
1574,low,med,4,2,big,high,unacc
1200,med,low,2,4,med,low,unacc
248,vhigh,med,3,2,med,high,unacc
1462,low,high,4,2,med,med,unacc
1375,low,vhigh,4,more,big,med,acc
1281,med,low,5more,4,med,low,unacc
177,vhigh,high,4,4,big,low,unacc
161,vhigh,high,3,more,big,high,unacc
141,vhigh,high,3,2,big,low,unacc
1227,med,low,3,4,med,low,unacc
573,high,high,3,2,big,low,unacc
1256,med,low,4,4,med,high,vgood
589,high,high,3,more,med,med,acc
1660,low,low,3,4,med,med,acc
134,vhigh,high,2,more,big,high,unacc
218,vhigh,med,2,2,small,high,unacc
1522,low,med,2,4,small,med,acc
1575,low,med,4,4,small,low,unacc
1435,low,high,3,2,med,med,unacc
507,high,vhigh,4,more,med,low,unacc
899,med,vhigh,3,2,big,high,unacc
650,high,med,2,2,small,high,unacc
1652,low,low,3,2,med,high,unacc
1484,low,high,4,more,big,high,vgood
965,med,vhigh,5more,more,small,high,acc
1494,low,high,5more,4,small,low,unacc
558,high,high,2,more,small,low,unacc
391,vhigh,low,4,4,med,med,acc
1368,low,vhigh,4,more,small,low,unacc
1331,low,vhigh,3,2,big,high,unacc
1457,low,high,3,more,big,high,vgood
1297,low,vhigh,2,2,small,med,unacc
1571,low,med,4,2,med,high,unacc
408,vhigh,low,5more,2,med,low,unacc
733,high,med,5more,2,med,med,unacc
1580,low,med,4,4,med,high,vgood
1002,med,high,3,2,med,low,unacc
497,high,vhigh,4,4,small,high,unacc
1482,low,high,4,more,big,low,unacc
1130,med,med,3,more,med,high,vgood
1258,med,low,4,4,big,med,good
517,high,vhigh,5more,2,med,med,unacc
191,vhigh,high,5more,2,small,high,unacc
693,high,med,3,more,small,low,unacc
1553,low,med,3,4,med,high,good
925,med,vhigh,4,2,big,med,unacc
28,vhigh,vhigh,3,2,small,med,unacc
1431,low,high,3,2,small,low,unacc
1597,low,med,5more,2,med,med,unacc
1438,low,high,3,2,big,med,unacc
487,high,vhigh,4,2,small,med,unacc
138,vhigh,high,3,2,med,low,unacc
1413,low,high,2,4,small,low,unacc
434,high,vhigh,2,2,small,high,unacc
16,vhigh,vhigh,2,4,big,med,unacc
885,med,vhigh,2,more,med,low,unacc
1477,low,high,4,more,small,med,acc
955,med,vhigh,5more,4,small,med,unacc
495,high,vhigh,4,4,small,low,unacc
1106,med,med,2,more,big,high,vgood
950,med,vhigh,5more,2,med,high,unacc
1194,med,low,2,2,big,low,unacc
1496,low,high,5more,4,small,high,acc
153,vhigh,high,3,more,small,low,unacc
1310,low,vhigh,2,4,med,high,acc
770,high,low,2,4,med,high,acc
1511,low,high,5more,more,big,high,vgood
1694,low,low,4,more,small,high,good
62,vhigh,vhigh,4,2,big,high,unacc
1586,low,med,4,more,small,high,good
1046,med,high,4,more,small,high,acc
889,med,vhigh,2,more,big,med,acc
126,vhigh,high,2,more,small,low,unacc
1654,low,low,3,2,big,med,unacc
1317,low,vhigh,2,more,med,low,unacc
1336,low,vhigh,3,4,med,med,unacc
1409,low,high,2,2,med,high,unacc
1540,low,med,3,2,small,med,unacc
39,vhigh,vhigh,3,4,med,low,unacc
1153,med,med,4,more,small,med,acc
131,vhigh,high,2,more,med,high,unacc
